装备名称,回收价格,装备类型
匕首,150,Weapon
井中月,14000,Weapon
银蛇,5000,Weapon
无极棍,10000,Weapon
逍遥扇,15000,Weapon
裁决之杖,20000,Weapon
龙纹剑,25000,Weapon
骨玉权杖,30000,Weapon
嗜魂法杖,35000,Weapon
木剑,25,Weapon
铁剑,500,Weapon
青铜剑,250,Weapon
轻型盔甲（男）,2500,Armour
轻型盔甲（女）,2500,Armour
凝霜,4000,Weapon
火球术,110,Book
治愈术,110,Book
基本剑术,110,Book
短剑,1000,Weapon
精神力战法,500,Book
青铜斧,1750,Weapon
重盔甲（女）,5000,Armour
魔法长袍（女）,5000,Armour
灵魂战衣（女）,5000,Armour
重盔甲（男）,5000,Armour
魔法长袍（男）,5000,Armour
灵魂战衣（男）,5000,Armour
大火球,500,Book
攻杀剑术,500,Book
施毒术,500,Book
海魂,1750,Weapon
修罗,3000,Weapon
凌风,2250,Weapon
破魂,1000,Weapon
斩马刀,2500,Weapon
古铜戒指,500,Ring
青铜头盔,500,Helmet
金项链,100,Necklace
铁手镯,150,Bracelet
乌木剑,500,Weapon
八荒,2000,Weapon
水晶魔戒,500,Ring
牛角戒指,600,Ring
蓝色水晶戒指,750,Ring
六绝星环,500,Ring
黑檀项链,2000,Necklace
黄色水晶项链,2000,Necklace
黑色水晶项链,2000,Necklace
魔法头盔,1500,Helmet
半月,1750,Weapon
皮制手套,250,Bracelet
坚固手套,2500,Bracelet
钢手镯,500,Bracelet
玄铁指环,1000,Ring
金戒指,3500,Ring
灯笼项链,2000,Necklace
白色虎齿项链,20000,Necklace
魅力戒指,3000,Ring
道德戒指,3000,Ring
白金项链,1500,Necklace
降妖除魔戒指,5000,Ring
躲避手链,15000,Necklace
偃月,2500,Weapon
降魔,2500,Weapon
传统项链,150,Necklace
小手镯,200,Bracelet
银手镯,250,Bracelet
大手镯,750,Bracelet
抗拒火环,500,Book
地狱火,500,Book
雷电术,500,Book
疾光电影,500,Book
灵魂火符,500,Book
幽灵盾,500,Book
神圣战甲术,500,Book
黑色水晶戒指,1250,Ring
魔鬼项链,2500,Necklace
珊瑚戒指,3500,Ring
蓝翡翠项链,5000,Necklace
蛇眼戒指,1250,Ring
琥珀项链,2500,Necklace
刺杀剑术,500,Book
放大镜,5000,Necklace
红宝石戒指,5000,Ring
珍珠戒指,1250,Ring
竹笛,5000,Necklace
铂金戒指,5000,Ring
骷髅戒指,3000,Ring
龙之戒指,5000,Ring
死神手套,5000,Bracelet
骷髅头盔,4000,Helmet
魔法手镯,1250,Bracelet
金手镯,1250,Bracelet
道士头盔,4000,Helmet
尽力手镯,1250,Bracelet
骑士手镯,1000,Bracelet
龙鳞手镯,1000,Bracelet
阎罗手套,1000,Bracelet
力量戒指,1000,Ring
泰坦戒指,1000,Ring
紫碧螺戒指,1000,Ring
圣战戒指,1000,Ring
天尊戒指,1000,Ring
法神戒指,1000,Ring
记忆项链,1000,Necklace
绿色项链,1000,Necklace
恶魔铃铛,15000,Necklace
心灵手镯,1000,Bracelet
三眼手镯,1000,Bracelet
思贝儿手镯,1000,Bracelet
龙之手镯,1000,Bracelet
祈祷头盔,1000,Helmet
祈祷项链,1000,Necklace
祈祷手镯,1000,Bracelet
祈祷戒指,1000,Ring
凤凰明珠,1000,Necklace
道士手镯,1000,Bracelet
灵魂项链,1000,Necklace
黑檀手镯,1000,Bracelet
夏普儿手镯,1000,Bracelet
困魔咒,500,Book
召唤骷髅,500,Book
隐身术,500,Book
集体隐身术,500,Book
诱惑之光,500,Book
瞬息移动,500,Book
火墙,500,Book
爆裂火焰,500,Book
地狱雷光,500,Book
半月弯刀,500,Book
愤怒之钟（雷）,7500,Necklace
愤怒之钟（风）,7500,Necklace
愤怒之钟,7500,Necklace
生命项链,10000,Necklace
