Index,ItemName,StdMode,Shape,Weight,AniCount,Source,Reserved,Looks,DuraMax,AC,AC2,MAC,MAC2,DC,DC2,MC,MC2,SC,SC2,Need,NeedLevel,Price,Extra
1,金币,41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,金创药（小）,0,1,5,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,魔法药（小）,0,1,15,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,金创药（中）,0,1,6,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
5,魔法药（中）,0,1,16,1,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,200,0
6,金创药（大）,0,2,7,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
7,魔法药（大）,0,2,17,1,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,500,0
8,金创药（特）,0,3,8,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0
9,魔法药（特）,0,3,18,1,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,1250,0
10,急救丸（小）,0,1,25,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
11,清心丸（小）,0,1,35,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,240,0
12,急救丸（中）,0,1,26,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
13,清心丸（中）,0,1,36,1,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,600,0
14,清心丸（大）,0,1,37,1,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,1800,0
15,急救丸（大）,0,1,27,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0
16,清心丸（特）,0,1,38,1,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,4200,0
17,急救丸（特）,0,1,28,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0
18,太阳水,0,1,20,0,70,0,0,110,0,0,0,0,0,0,0,0,0,0,0,1,500,0
19,强效太阳水,0,1,21,0,110,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
20,万年雪霜,0,1,70,1,170,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,4400,0
21,人参,0,1,70,1,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,8800,0
22,鹿茸,0,1,71,1,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0
23,米糕,0,1,92,1,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0
24,鹿血,0,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
25,神水,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
26,馒头,0,1,91,1,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0
27,水饺,0,1,94,1,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,100,0
28,鸡血,0,1,31,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0
29,烧酒,0,1,1145,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0
30,特殊药水,0,1,40,1,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,100,0
31,无敌药水,0,1,1555,1,0,0,0,0,0,30,0,0,0,0,240,0,0,0,0,0,80,0
32,魔法免疫药水,0,1,1558,1,0,0,0,0,0,45,0,0,0,0,120,0,0,0,0,0,80,0
33,物理免疫药水,0,1,1465,1,0,0,0,0,0,45,0,0,0,0,120,0,0,0,0,0,80,0
34,昙花,0,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
35,水帘花,0,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
36,满天星,0,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
37,闪聚花,0,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
38,干肉,1,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
39,包子,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0
40,回城卷,3,1,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
41,随机传送卷,3,1,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
42,地牢逃脱卷,3,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
43,行会回城卷,3,1,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
44,随身NPC,3,1,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
45,师徒令,0,1,1451,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,100,0
46,时空之门卷,3,1,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
47,时空传送卷,3,1,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
48,攻击神水（小）,3,3,84,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10000,0
49,自然神水（小）,3,3,82,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,10000,0
50,灵魂神水（小）,3,3,81,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,10000,0
51,疾风神水（小）,3,3,80,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10000,0
52,体力强效神水（小）,3,3,85,0,50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10000,0
53,魔法强效神水（小）,3,3,83,0,0,0,0,50,5,0,0,0,0,0,0,0,0,0,0,0,10000,0
54,攻击神水（中）,3,5,84,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,20000,0
55,自然神水（中）,3,5,82,0,0,0,0,0,10,0,0,0,0,1,6,0,0,0,0,0,20000,0
56,灵魂神水（中）,3,5,81,0,0,0,0,0,10,0,0,0,0,2,6,0,0,0,0,0,20000,0
57,疾风神水（中）,3,5,80,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20000,0
58,体力强效神水（中）,3,5,85,0,80,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20000,0
59,魔力强效神水（中）,3,5,83,0,0,0,0,80,10,0,0,0,0,0,0,0,0,0,0,0,20000,0
60,攻击神水（大）,3,9,84,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,50000,0
61,自然神水（大）,3,9,82,0,0,0,0,0,20,0,0,0,0,1,10,0,0,0,0,0,50000,0
62,灵魂神水（大）,3,9,81,0,0,0,0,0,20,0,0,0,0,2,10,0,0,0,0,0,50000,0
63,疾风神水（大）,3,9,80,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50000,0
64,体力强效神水（大）,3,9,85,0,120,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50000,0
65,魔力强效神水（大）,3,9,83,0,0,0,0,120,20,0,0,0,0,0,0,0,0,0,0,0,50000,0
66,攻击神水（特）,3,13,84,0,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0,100000,0
67,自然神水（特）,3,13,82,0,0,0,0,0,30,0,0,0,0,1,15,0,0,0,0,0,100000,0
68,灵魂神水（特）,3,13,81,0,0,0,0,0,30,0,0,0,0,2,15,0,0,0,0,0,100000,0
69,疾风神水（特）,3,13,80,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100000,0
70,体力强效神水（特）,3,13,85,0,170,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100000,0
71,魔力强效神水（特）,3,13,83,0,0,0,0,170,30,0,0,0,0,0,0,0,0,0,0,0,100000,0
72,饺子（自然）,3,1,94,0,0,0,0,0,40,0,0,0,0,1,15,0,0,0,0,0,150000,0
73,饺子（灵魂）,3,1,94,0,0,0,0,0,40,0,0,0,0,2,15,0,0,0,0,0,150000,0
74,饺子（攻击）,3,1,94,0,0,0,0,0,40,17,0,0,0,0,0,0,0,0,0,0,150000,0
75,饺子（疾风）,3,1,94,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
76,饺子（体力）,3,1,94,0,170,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
77,饺子（魔力）,3,1,94,0,0,0,0,170,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
78,汤圆（自然）,3,1,92,0,0,0,0,0,40,0,0,0,0,1,15,0,0,0,0,0,150000,0
79,汤圆（灵魂）,3,1,92,0,0,0,0,0,40,0,0,0,0,2,15,0,0,0,0,0,150000,0
80,汤圆（攻击）,3,1,92,0,0,0,0,0,40,17,0,0,0,0,0,0,0,0,0,0,150000,0
81,汤圆（疾风）,3,1,92,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
82,汤圆（体力）,3,1,92,0,170,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
83,汤圆（魔力）,3,1,92,0,0,0,0,170,40,0,0,0,0,0,0,0,0,0,0,0,150000,0
84,苹果,3,1,86,0,0,0,0,0,30,17,0,0,0,0,15,0,0,0,0,0,300000,0
85,肉丸,3,1,1321,0,200,3,0,200,30,0,0,0,0,0,0,0,0,0,0,0,300000,0
86,红苹果,3,1,86,0,230,3,0,230,60,20,0,0,0,0,20,0,0,0,0,0,1000000,0
87,彩卷,3,1,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0
88,修复油,3,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0
89,战神油,3,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
90,祝福油,3,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0
91,武器强化油,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0
92,回生神水,3,10,64,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
93,诅咒之药水,3,2,64,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
94,亡灵之药水,3,2,64,1000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
95,无名药,3,1,81,0,0,0,0,0,180,0,0,0,0,2,1,0,0,0,0,0,50,0
96,胆汁,3,1,82,0,0,0,0,0,180,0,0,0,0,1,1,0,0,0,0,0,50,0
97,战酒,3,1,1145,0,0,0,0,0,180,1,0,0,0,0,0,0,0,0,0,0,50,0
98,树苗,3,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
99,潘多拉宝盒,3,4,1425,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
100,大魔神血杯,3,1,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,基本剑术（秘籍）,4,1,304,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
102,攻杀剑术（秘籍）,4,1,304,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
103,刺杀剑术（秘籍）,4,1,304,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
104,半月弯刀（秘籍）,4,1,304,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
105,野蛮冲撞（秘籍）,4,1,304,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
106,烈火剑法（秘籍）,4,1,304,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
107,翔空剑法（秘籍）,4,1,304,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
108,莲月剑法（秘籍）,4,1,304,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
109,十方斩（秘籍）,4,1,309,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
110,乾坤大挪移（秘籍）,4,1,309,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
111,铁布杉（秘籍）,4,1,309,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
112,斗转星移（秘籍）,4,1,309,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
113,破血狂杀（秘籍）,4,1,309,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
114,狂暴冲撞（秘籍）,4,1,309,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
115,移花接木（秘籍）,4,1,309,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
116,旋风斩（秘籍）,4,1,309,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
117,君临步（秘籍）,4,1,309,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
118,屠龙斩（秘籍）,4,1,309,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
119,火球术（秘籍）,4,1,304,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
120,霹雳掌（秘籍）,4,1,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
121,冰月神掌（秘籍）,4,1,304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
122,风掌（秘籍）,4,1,304,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
123,抗拒火环（秘籍）,4,1,304,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
124,诱惑之光（秘籍）,4,1,304,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
125,瞬息移动（秘籍）,4,1,304,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
126,大火球（秘籍）,4,1,304,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
127,雷电术（秘籍）,4,1,304,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
128,冰月震天（秘籍）,4,1,304,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
129,击风（秘籍）,4,1,304,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
130,地狱火（秘籍）,4,1,304,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
131,疾光电影（秘籍）,4,1,304,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
132,冰沙掌（秘籍）,4,1,304,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
133,风震天（秘籍）,4,1,304,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
134,火墙（秘籍）,4,1,304,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
135,圣言术（秘籍）,4,1,304,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
136,异形换位（秘籍）,4,1,304,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
137,魔法盾（秘籍）,4,1,304,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
138,爆裂火焰（秘籍）,4,1,304,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
139,地狱雷光（秘籍）,4,1,304,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
140,冰咆哮（秘籍）,4,1,304,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
141,龙卷风（秘籍）,4,1,304,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
142,魄冰刺（秘籍）,4,1,309,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
143,怒神霹雳（秘籍）,4,1,309,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
144,焰天火雨（秘籍）,4,1,309,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
145,凝血离魂（秘籍）,4,1,309,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
146,旋风墙（秘籍）,4,1,309,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
147,混元掌（秘籍）,4,1,309,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
148,透心链（秘籍）,4,1,309,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
149,魔爆术（秘籍）,4,1,309,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0
