MonsterName,Image,File,AttackSound,StruckSound,DieSound,BodyShape,Portrait,AI,Level,ViewRange,CoolEye,Experience,Undead,CanPush,CanTame,AttackDelay,MoveDelay,IsBoss,Flag,CallFightPet,CallMapSummoning,DiyMoveMode,IsSlow,Index,ServerOnly,CreatTime
鸡,Chicken,None,None,None,None,20,20,1,2,5,0,5.00000,False,True,True,3000,1500,False,None,False,False,0,False,10001,False,1/1/0001 上午 12:00:00
猪,Pig,None,None,None,None,119,119,2,3,5,0,8.00000,False,True,True,3000,1500,False,None,False,False,0,False,10002,False,1/1/0001 上午 12:00:00
鹿,Deer,None,None,None,None,21,21,2,6,5,0,17.00000,False,True,True,3000,1500,False,None,False,False,0,False,10003,False,1/1/0001 上午 12:00:00
牛,Cow,None,None,None,None,121,121,2,4,5,0,11.00000,False,True,True,3000,1500,False,None,False,False,0,False,10004,False,1/1/0001 上午 12:00:00
羊,Sheep,None,None,None,None,58,58,2,5,5,0,14.00000,False,True,True,3000,1500,False,None,False,False,0,False,10005,False,1/1/0001 上午 12:00:00
多钩猫,ClawCat,None,None,None,None,38,38,0,10,7,0,20.00000,False,True,False,2500,1500,False,None,False,False,0,False,10006,False,1/1/0001 上午 12:00:00
狼,Wolf,None,None,None,None,65,65,3,15,6,0,60.00000,False,True,False,2500,1300,False,None,False,False,0,False,10007,False,1/1/0001 上午 12:00:00
森林雪人,ForestYeti,None,None,None,None,30,30,0,13,7,0,40.00000,False,True,False,2500,1500,False,None,False,False,0,False,10008,False,1/1/0001 上午 12:00:00
栗子树,ChestnutTree,None,None,None,None,0,0,4,10,9,0,20.00000,False,False,False,0,0,False,None,False,False,0,False,10009,False,1/1/0001 上午 12:00:00
食人花,CarnivorousPlant,None,None,None,None,31,31,5,10,9,0,21.00000,False,False,False,2000,0,False,None,False,False,0,False,10010,False,1/1/0001 上午 12:00:00
半兽战士,Oma,None,None,None,None,23,23,0,13,8,10,50.00000,False,True,False,2000,1500,False,None,False,False,0,False,10011,False,1/1/0001 上午 12:00:00
虎蛇,TigerSnake,None,None,None,None,57,57,0,15,8,0,70.00000,False,True,False,2300,1300,False,None,False,False,0,False,10012,False,1/1/0001 上午 12:00:00
毒蜘蛛,SpittingSpider,None,None,None,None,25,25,6,10,6,0,22.00000,False,True,False,2500,1000,False,None,False,False,0,False,10013,False,1/1/0001 上午 12:00:00
稻草人,Scarecrow,None,None,None,None,40,40,0,10,6,0,18.00000,True,True,False,2500,1500,False,None,False,False,0,False,10014,False,1/1/0001 上午 12:00:00
半兽人,OmaA,Mon_28,None,None,None,22,22,0,13,7,0,30.00000,False,True,False,2500,1500,False,None,False,False,0,False,10015,False,1/1/0001 上午 12:00:00
多角虫,Beetle,None,None,None,None,63,63,0,13,6,0,30.00000,False,True,False,2500,1400,False,None,False,False,0,False,10016,False,1/1/0001 上午 12:00:00
猎鹰,DiyMonsMon,Mon_6,None,None,None,59,59,0,13,6,0,50.00000,False,True,False,2500,1200,False,None,False,False,0,False,10017,False,1/1/0001 上午 12:00:00
威思尔小虫,VisceralWorm,None,None,None,None,62,62,6,13,6,0,40.00000,False,True,False,2500,1100,False,None,False,False,0,False,10018,False,1/1/0001 上午 12:00:00
盔甲虫,ShellNipper,None,None,None,None,60,60,0,13,6,0,35.00000,False,True,False,2500,1200,False,None,False,False,0,False,10019,False,1/1/0001 上午 12:00:00
山洞蝙蝠,CaveBat,None,None,None,None,29,29,0,18,5,0,90.00000,False,True,False,2500,1500,False,None,False,False,0,False,10020,False,1/1/0001 上午 12:00:00
