QuestIndex,QuestName,QuestType,Category,Detail
34,"随机任务34","Daily","EmptyObjective/KillEmptyMonsterDetails","TASK#54 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
142,"随机任务142","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
244,"随机任务244","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
246,"随机任务246","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
257,"随机任务257","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
277,"随机任务277","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
291,"随机任务291","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
297,"随机任务297","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
325,"随机任务325","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
344,"随机任务344","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
348,"随机任务348","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
351,"随机任务351","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
359,"随机任务359","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
362,"随机任务362","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
373,"随机任务373","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
374,"随机任务374","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
377,"随机任务377","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
379,"随机任务379","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
380,"随机任务380","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
386,"随机任务386","Daily","EmptyObjective/EmptyTaskList","Quest has zero QuestTask rows (active quest with no objectives)"
492,"行政官的指派 PT11","None","EmptyObjective/KillEmptyMonsterDetails","TASK#612 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
493,"行政官的指派 PT12","None","EmptyObjective/KillEmptyMonsterDetails","TASK#613 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
494,"行政官的指派 PT13","None","EmptyObjective/KillEmptyMonsterDetails","TASK#614 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
495,"行政官的指派 PT14","None","EmptyObjective/KillEmptyMonsterDetails","TASK#615 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
496,"行政官的指派 PT15","None","EmptyObjective/KillEmptyMonsterDetails","TASK#616 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
497,"行政官的指派 PT16","None","EmptyObjective/KillEmptyMonsterDetails","TASK#617 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
498,"行政官的指派 PT17","None","EmptyObjective/KillEmptyMonsterDetails","TASK#618 KillMonster Amount=1 MonsterDetails=0 MobDescription=''"
499,"马牌任务1","None","EmptyObjective/KillEmptyMonsterDetails","TASK#619 KillMonster Amount=10 MonsterDetails=0 MobDescription=''"
500,"马牌任务2","None","EmptyObjective/KillEmptyMonsterDetails","TASK#620 KillMonster Amount=200 MonsterDetails=0 MobDescription=''"
501,"马牌任务3","None","EmptyObjective/KillEmptyMonsterDetails","TASK#621 KillMonster Amount=500 MonsterDetails=0 MobDescription=''"
502,"马牌任务4","None","EmptyObjective/KillEmptyMonsterDetails","TASK#622 KillMonster Amount=2000 MonsterDetails=0 MobDescription=''"
499,"马牌任务1","None","马牌","see Section 0 dump"
500,"马牌任务2","None","马牌","see Section 0 dump"
501,"马牌任务3","None","马牌","see Section 0 dump"
502,"马牌任务4","None","马牌","see Section 0 dump"
18,"随机任务18",,"UnobtainableGainItem","TASK#27 Item[394] 血巨人心脏 amt=20"
25,"随机任务25",,"UnobtainableGainItem","TASK#38 Item[1091] 巨象兽牙齿 amt=15"
30,"随机任务30",,"UnobtainableGainItem","TASK#48 Item[1060] 祖玛宝典 amt=1"
47,"随机任务47",,"UnobtainableGainItem","TASK#80 Item[677] 石人心核 amt=25"
61,"随机任务61",,"UnobtainableGainItem","TASK#107 Item[391] 幻影蜘蛛线 amt=30"
63,"随机任务63",,"UnobtainableGainItem","TASK#109 Item[427] 祖玛卫士雕像 amt=20"
64,"随机任务64",,"UnobtainableGainItem","TASK#110 Item[1088] 遗失的头盔 amt=1"
65,"随机任务65",,"UnobtainableGainItem","TASK#111 Item[614] 诺玛药水 amt=45"
66,"随机任务66",,"UnobtainableGainItem","TASK#112 Item[1117] 祖玛雕像碎片 amt=20"
94,"随机任务94",,"UnobtainableGainItem","TASK#153 Item[1116] 咒书 amt=1"
95,"随机任务95",,"UnobtainableGainItem","TASK#154 Item[509] 祖玛雕像号角 amt=15"
96,"随机任务96",,"UnobtainableGainItem","TASK#155 Item[1089] 魔艳项链 amt=10"
97,"随机任务97",,"UnobtainableGainItem","TASK#156 Item[1090] 遗失的护身符 amt=1"
118,"随机任务118",,"UnobtainableGainItem","TASK#182 Item[321] 雷电僵尸骨 amt=20"
140,"随机任务140",,"UnobtainableGainItem","TASK#215 Item[1115] 诺玛将士药水 amt=20"
150,"随机任务150",,"UnobtainableGainItem","TASK#224 Item[297] 血魔心脏 amt=1"
154,"随机任务154",,"UnobtainableGainItem","TASK#229 Item[358] 诺玛法老珍珠 amt=5"
161,"随机任务161",,"UnobtainableGainItem","TASK#236 Item[1082] 遗失的手套 amt=1"
170,"随机任务170",,"UnobtainableGainItem","TASK#249 Item[1083] 震天魔镜 amt=1"
173,"随机任务173",,"UnobtainableGainItem","TASK#252 Item[603] 尸王白骨 amt=1"
175,"随机任务175",,"UnobtainableGainItem","TASK#254 Item[1084] 遗失的项链 amt=1"
176,"随机任务176",,"UnobtainableGainItem","TASK#255 Item[1085] 祖玛护法铁锤 amt=1"
177,"随机任务177",,"UnobtainableGainItem","TASK#256 Item[1086] 血巨人指甲 amt=4"
183,"随机任务183",,"UnobtainableGainItem","TASK#262 Item[509] 祖玛雕像号角 amt=2"
190,"随机任务190",,"UnobtainableGainItem","TASK#269 Item[1087] 遗失的铁锄 amt=1"
239,"随机任务239",,"UnobtainableGainItem","TASK#333 Item[428] 半兽利齿 amt=10"
255,"随机任务255",,"UnobtainableGainItem","TASK#347 Item[1079] 火焰沃玛号角 amt=5"
267,"随机任务267",,"UnobtainableGainItem","TASK#358 Item[1080] 蜜袋 amt=5"
279,"随机任务279",,"UnobtainableGainItem","TASK#371 Item[1114] 旧锤子 amt=1"
283,"随机任务283",,"UnobtainableGainItem","TASK#375 Item[1113] 碧玉项链 amt=1"
307,"随机任务307",,"UnobtainableGainItem","TASK#399 Item[315] 烧酒 amt=10"
311,"随机任务311",,"UnobtainableGainItem","TASK#404 Item[315] 烧酒 amt=5"
323,"随机任务323",,"UnobtainableGainItem","TASK#418 Item[315] 烧酒 amt=2"
329,"随机任务329",,"UnobtainableGainItem","TASK#424 Item[130] 铜矿 amt=1"
330,"随机任务330",,"UnobtainableGainItem","TASK#425 Item[807] 无名油 amt=3"
331,"随机任务331",,"UnobtainableGainItem","TASK#426 Item[315] 烧酒 amt=5"
332,"随机任务332",,"UnobtainableGainItem","TASK#427 Item[1074] 遗失的手镯 amt=1"
370,"随机任务370",,"UnobtainableGainItem","TASK#466 Item[513] 攻杀铁剑 amt=1"
378,"随机任务378",,"UnobtainableGainItem","TASK#471 Item[372] 半兽人角笛 amt=1"
392,"随机任务392",,"UnobtainableGainItem","TASK#483 Item[373] 不死骨头 amt=1"
397,"随机任务397",,"UnobtainableGainItem","TASK#488 Item[1077] 遗失的斧子 amt=1"
