convention=Index[20000,30000)=小; [30000,100000)=大; 副本-*=小; else Index>=100000&&Level>=100=大 else 小
Chance=1 (always; peer=boss金币 Chance=1)
小: 地煞 Amount=5, 天罡 Amount=1
大: 地煞 Amount=10, 天罡 Amount=5
iconChanged=False
NEW [20001] 半兽勇士 小 地煞石 Amt=5 Chance=1
NEW [20001] 半兽勇士 小 天罡石 Amt=1 Chance=1
NEW [20002] 巨型多角虫 小 地煞石 Amt=5 Chance=1
NEW [20002] 巨型多角虫 小 天罡石 Amt=1 Chance=1
NEW [20003] 骷髅精灵 小 地煞石 Amt=5 Chance=1
NEW [20003] 骷髅精灵 小 天罡石 Amt=1 Chance=1
NEW [20004] 尸王 小 地煞石 Amt=5 Chance=1
NEW [20004] 尸王 小 天罡石 Amt=1 Chance=1
NEW [20005] 蚂蚁将军 小 地煞石 Amt=5 Chance=1
NEW [20005] 蚂蚁将军 小 天罡石 Amt=1 Chance=1
NEW [20006] 红甲虫 小 地煞石 Amt=5 Chance=1
NEW [20006] 红甲虫 小 天罡石 Amt=1 Chance=1
NEW [20007] 沃玛卫士 小 地煞石 Amt=5 Chance=1
NEW [20007] 沃玛卫士 小 天罡石 Amt=1 Chance=1
NEW [20008] 邪恶钳虫 小 地煞石 Amt=5 Chance=1
NEW [20008] 邪恶钳虫 小 天罡石 Amt=1 Chance=1
NEW [20009] 白野猪 小 地煞石 Amt=5 Chance=1
NEW [20009] 白野猪 小 天罡石 Amt=1 Chance=1
NEW [20010] 骨鬼将 小 地煞石 Amt=5 Chance=1
NEW [20010] 骨鬼将 小 天罡石 Amt=1 Chance=1
NEW [20011] 八脚首领 小 地煞石 Amt=5 Chance=1
NEW [20011] 八脚首领 小 天罡石 Amt=1 Chance=1
NEW [20012] 僵尸鬼 小 地煞石 Amt=5 Chance=1
NEW [20012] 僵尸鬼 小 天罡石 Amt=1 Chance=1
NEW [20013] 吸血鬼 小 地煞石 Amt=5 Chance=1
NEW [20013] 吸血鬼 小 天罡石 Amt=1 Chance=1
NEW [20014] 大法老 小 地煞石 Amt=5 Chance=1
NEW [20014] 大法老 小 天罡石 Amt=1 Chance=1
NEW [20015] 神鬼王 小 地煞石 Amt=5 Chance=1
NEW [20015] 神鬼王 小 天罡石 Amt=1 Chance=1
NEW [20016] 护法天 小 地煞石 Amt=5 Chance=1
NEW [20016] 护法天 小 天罡石 Amt=1 Chance=1
NEW [20017] 潘夜鬼将 小 地煞石 Amt=5 Chance=1
NEW [20017] 潘夜鬼将 小 天罡石 Amt=1 Chance=1
NEW [20018] 疯狂魔神盗 小 地煞石 Amt=5 Chance=1
NEW [20018] 疯狂魔神盗 小 天罡石 Amt=1 Chance=1
NEW [20019] 黑度首将 小 地煞石 Amt=5 Chance=1
NEW [20019] 黑度首将 小 天罡石 Amt=1 Chance=1
NEW [20020] 霸王守卫 小 地煞石 Amt=5 Chance=1
NEW [20020] 霸王守卫 小 天罡石 Amt=1 Chance=1
NEW [20021] 震天首将 小 地煞石 Amt=5 Chance=1
NEW [20021] 震天首将 小 天罡石 Amt=1 Chance=1
NEW [20022] 诺玛突击队长 小 地煞石 Amt=5 Chance=1
NEW [20022] 诺玛突击队长 小 天罡石 Amt=1 Chance=1
NEW [20023] 魔石守护神 小 地煞石 Amt=5 Chance=1
NEW [20023] 魔石守护神 小 天罡石 Amt=1 Chance=1
NEW [30001] 沃玛教主 大 地煞石 Amt=10 Chance=1
NEW [30001] 沃玛教主 大 天罡石 Amt=5 Chance=1
